批次编号,时间,产品等级,产线,班次,反应器温度,反应器压力,进料流量,催化剂活性,pH值,杂质浓度,能耗,产能,收率,粘度,水分,运营成本指数,运行工况
B01007,2025-10-28 00:00,Grade_A,Line_1,night,187.86,12.56,49.45,0.89,7.25,15.3,1025.0,12.09,97.99,185.5,0.129,1.001,normal
B01378,2025-10-07 08:00,Grade_C,Line_3,day,146.29,10.34,33.41,0.659,6.39,72.6,804.5,5.81,80.24,203.7,0.521,1.336,startup_transition
B01057,2025-12-22 16:00,Grade_A,Line_1,day,196.52,15.05,43.75,0.887,7.07,12.7,1099.5,12.31,97.26,218.8,0.127,0.932,normal
B01040,2025-11-05 16:00,Grade_A,Line_1,day,192.58,12.85,45.27,0.919,7.03,20.8,1069.7,11.76,94.33,180.8,0.134,1.05,normal
B01009,2025-10-02 16:00,Grade_A,Line_1,day,200.37,13.36,44.94,0.841,6.8,20.3,1049.5,13.92,97.05,200.3,0.091,0.975,normal
B01179,2025-04-04 00:00,Grade_A,Line_2,night,224.56,18.14,67.01,0.863,6.75,20.9,1372.7,16.1,92.87,235.6,0.269,1.072,high_load
B01163,2025-03-16 10:00,Grade_A,Line_2,day,228.01,17.95,66.92,0.82,6.89,21.5,1157.8,16.54,93.67,240.1,0.249,1.132,high_load
B01350,2025-10-07 06:00,Grade_C,Line_3,day,147.07,9.94,21.48,0.664,6.84,96.1,894.6,6.81,69.35,172.0,0.451,1.328,startup_transition
B01341,2025-09-26 00:00,Grade_C,Line_3,night,174.93,9.85,31.87,0.616,6.84,116.6,810.1,7.1,66.21,178.2,0.348,1.637,startup_transition
B01207,2025-05-04 22:00,Grade_A,Line_2,night,212.9,18.45,55.72,0.837,6.89,24.4,1152.9,14.41,88.07,229.8,0.195,1.153,high_load
B01021,2025-11-14 08:00,Grade_A,Line_1,day,202.59,13.48,43.58,0.928,7.22,18.4,1097.7,12.96,94.03,212.7,0.11,0.983,normal
B01022,2025-11-15 10:00,Grade_A,Line_1,day,190.29,15.56,49.42,0.84,6.97,11.6,981.7,13.06,97.41,200.2,0.105,1.032,normal
B01318,2025-08-03 22:00,Grade_C,Line_3,night,160.51,10.07,31.05,0.564,6.09,69.9,949.4,7.66,70.92,207.8,0.369,1.543,startup_transition
B01109,2025-01-18 00:00,Grade_A,Line_1,night,186.26,15.35,47.0,0.89,7.18,17.8,1049.3,11.87,94.01,194.1,0.137,0.887,normal
B01177,2025-04-02 16:00,Grade_A,Line_2,day,230.41,17.57,56.48,0.823,6.86,33.6,1306.8,15.65,93.72,227.7,0.242,1.138,high_load
B01043,2025-11-08 22:00,Grade_A,Line_1,night,192.93,14.86,42.76,0.91,7.18,9.7,1059.0,13.55,96.4,184.8,0.178,1.007,normal
B01319,2025-08-04 14:00,Grade_C,Line_3,day,155.92,9.62,20.07,0.585,6.51,89.1,890.6,5.36,66.99,180.8,0.364,1.515,startup_transition
B01129,2025-02-10 14:00,Grade_A,Line_2,day,215.38,17.41,55.66,0.814,7.03,36.4,1258.2,15.61,93.08,225.9,0.265,1.196,high_load
B01105,2025-01-14 22:00,Grade_A,Line_1,night,204.33,15.27,50.01,0.838,6.95,18.9,1077.3,12.66,94.41,213.8,0.165,0.907,normal
B01093,2025-01-02 18:00,Grade_A,Line_1,day,188.44,15.79,46.6,0.91,7.02,15.4,939.1,12.31,95.6,183.1,0.167,0.999,normal
B01262,2025-07-03 06:00,Grade_B,Line_1,day,181.02,12.65,41.62,0.504,6.62,41.2,1216.1,7.31,85.19,249.4,0.243,1.182,catalyst_fade
B01120,2025-02-01 16:00,Grade_A,Line_1,day,202.83,15.41,49.12,0.941,7.18,21.5,1011.6,11.36,94.8,185.6,0.159,0.855,normal
B01283,2025-07-24 22:00,Grade_B,Line_1,night,194.13,13.9,38.13,0.56,6.21,46.3,1174.1,9.34,86.7,306.4,0.402,1.361,catalyst_fade
B01333,2025-09-18 06:00,Grade_C,Line_3,day,144.38,8.94,23.77,0.699,6.75,64.7,871.5,4.38,80.93,178.4,0.313,1.608,startup_transition
B01065,2025-12-02 00:00,Grade_A,Line_1,night,186.99,15.64,42.15,0.839,7.32,24.5,933.5,13.34,95.06,204.9,0.12,0.866,normal
B01186,2025-04-11 10:00,Grade_A,Line_2,day,230.34,18.82,58.87,0.83,6.55,23.3,1177.1,14.92,89.1,241.6,0.216,1.134,high_load
B01292,2025-08-05 18:00,Grade_B,Line_1,day,175.34,12.69,40.35,0.578,6.63,69.0,1167.1,9.1,78.73,314.2,0.241,1.386,catalyst_fade
